t,delta,force,overlap,vel
3.9e-09,6.53589999999999e-07,0,-1.8589999999999e-08,-11.9
3.92e-09,6.53351999999999e-07,0,-1.8351999999999e-08,-11.9
3.94e-09,6.53113999999999e-07,0,-1.8113999999999e-08,-11.9
3.96e-09,6.52875999999999e-07,0,-1.78759999999991e-08,-11.9
3.98e-09,6.52637999999999e-07,0,-1.76379999999991e-08,-11.9
4e-09,6.52399999999999e-07,0,-1.73999999999991e-08,-11.9
4.02e-09,6.52161999999999e-07,0,-1.71619999999991e-08,-11.9
4.04e-09,6.51923999999999e-07,0,-1.69239999999991e-08,-11.9
4.06e-09,6.51685999999999e-07,0,-1.66859999999991e-08,-11.9
4.08e-09,6.51447999999999e-07,0,-1.64479999999991e-08,-11.9
4.1e-09,6.51209999999999e-07,0,-1.62099999999991e-08,-11.9
4.12e-09,6.50971999999999e-07,0,-1.59719999999991e-08,-11.9
4.14e-09,6.50733999999999e-07,0,-1.5733999999999e-08,-11.9
4.16e-09,6.50495999999999e-07,0,-1.5495999999999e-08,-11.9
4.18e-09,6.50257999999999e-07,0,-1.5257999999999e-08,-11.9
4.2e-09,6.50019999999999e-07,0,-1.5019999999999e-08,-11.9
4.22e-09,6.49781999999999e-07,0,-1.4781999999999e-08,-11.9
4.24e-09,6.49543999999999e-07,0,-1.4543999999999e-08,-11.9
4.26e-09,6.49305999999999e-07,0,-1.4305999999999e-08,-11.9
4.28e-09,6.49067999999999e-07,0,-1.4067999999999e-08,-11.9
4.3e-09,6.48829999999999e-07,0,-1.3829999999999e-08,-11.9
4.32e-09,6.48591999999999e-07,0,-1.3591999999999e-08,-11.9
4.34e-09,6.48353999999999e-07,0,-1.3353999999999e-08,-11.9
4.36e-09,6.48115999999999e-07,0,-1.31159999999991e-08,-11.9
4.38e-09,6.47877999999999e-07,0,-1.28779999999991e-08,-11.9
4.4e-09,6.47639999999999e-07,0,-1.26399999999991e-08,-11.9
4.42e-09,6.47401999999999e-07,0,-1.24019999999991e-08,-11.9
4.44e-09,6.47163999999999e-07,0,-1.21639999999991e-08,-11.9
4.46e-09,6.46925999999999e-07,0,-1.19259999999991e-08,-11.9
4.48e-09,6.46687999999999e-07,0,-1.16879999999991e-08,-11.9
4.5e-09,6.46449999999999e-07,0,-1.14499999999991e-08,-11.9
4.52e-09,6.46211999999999e-07,0,-1.12119999999991e-08,-11.9
4.54e-09,6.45973999999999e-07,0,-1.0973999999999e-08,-11.9
4.56e-09,6.45735999999999e-07,0,-1.0735999999999e-08,-11.9
4.58e-09,6.45497999999999e-07,0,-1.0497999999999e-08,-11.9
4.6e-09,6.45259999999999e-07,0,-1.0259999999999e-08,-11.9
4.62e-09,6.45021999999999e-07,0,-1.0021999999999e-08,-11.9
4.64e-09,6.44783999999999e-07,0,-9.78399999999902e-09,-11.9
4.66e-09,6.44545999999999e-07,0,-9.54599999999902e-09,-11.9
4.68e-09,6.44307999999999e-07,0,-9.30799999999901e-09,-11.9
4.7e-09,6.44069999999999e-07,0,-9.06999999999901e-09,-11.9
4.72e-09,6.43831999999999e-07,0,-8.831999999999e-09,-11.9
4.74e-09,6.43593999999999e-07,0,-8.593999999999e-09,-11.9
4.76e-09,6.43355999999999e-07,0,-8.35599999999899e-09,-11.9
4.78e-09,6.43117999999999e-07,0,-8.11799999999909e-09,-11.9
4.8e-09,6.42879999999999e-07,0,-7.87999999999909e-09,-11.9
4.82e-09,6.42641999999999e-07,0,-7.64199999999908e-09,-11.9
4.84e-09,6.42403999999999e-07,0,-7.40399999999908e-09,-11.9
4.86e-09,6.42165999999999e-07,0,-7.16599999999907e-09,-11.9
4.88e-09,6.41927999999999e-07,0,-6.92799999999907e-09,-11.9
4.9e-09,6.41689999999999e-07,0,-6.68999999999906e-09,-11.9
4.92e-09,6.41451999999999e-07,0,-6.45199999999906e-09,-11.9
4.94e-09,6.41213999999999e-07,0,-6.21399999999905e-09,-11.9
4.96e-09,6.40975999999999e-07,0,-5.97599999999905e-09,-11.9
4.98e-09,6.40737999999999e-07,0,-5.73799999999904e-09,-11.9
5e-09,6.40499999999999e-07,0,-5.49999999999904e-09,-11.9
5.02e-09,6.40261999999999e-07,0,-5.26199999999903e-09,-11.9
5.04e-09,6.40023999999999e-07,0,-5.02399999999903e-09,-11.9
5.06e-09,6.39785999999999e-07,0,-4.78599999999902e-09,-11.9
5.08e-09,6.39547999999999e-07,0,-4.54799999999902e-09,-11.9
5.1e-09,6.39309999999999e-07,0,-4.30999999999901e-09,-11.9
5.12e-09,6.39071999999999e-07,0,-4.07199999999901e-09,-11.9
5.14e-09,6.38833999999999e-07,0,-3.833999999999e-09,-11.9
5.16e-09,6.38595999999999e-07,0,-3.595999999999e-09,-11.9
5.18e-09,6.38357999999999e-07,0,-3.3579999999991e-09,-11.9
5.2e-09,6.38119999999999e-07,0,-3.11999999999909e-09,-11.9
5.22e-09,6.37881999999999e-07,0,-2.88199999999909e-09,-11.9
5.24e-09,6.37643999999999e-07,0,-2.64399999999908e-09,-11.9
5.26e-09,6.37405999999999e-07,0,-2.40599999999908e-09,-11.9
5.28e-09,6.37167999999999e-07,0,-2.16799999999907e-09,-11.9
5.3e-09,6.36929999999999e-07,0,-1.92999999999907e-09,-11.9
5.32e-09,6.36691999999999e-07,0,-1.69199999999906e-09,-11.9
5.34e-09,6.36453999999999e-07,0,-1.45399999999905e-09,-11.9
5.36e-09,6.36215999999999e-07,0,-1.21599999999905e-09,-11.9
5.38e-09,6.35977999999999e-07,0,-9.77999999999044e-10,-11.9
5.4e-09,6.35739999999999e-07,0,-7.39999999999039e-10,-11.9
5.42e-09,6.35501999999999e-07,0,-5.01999999999034e-10,-11.9
5.44e-09,6.35263999999999e-07,0,-2.63999999999029e-10,-11.9
5.46e-09,6.35025999999999e-07,0,-2.59999999990236e-11,-11.9
5.48e-09,6.34787999999999e-07,4.83466000567703e-08,2.12000000000982e-10,-11.8995606518601
5.5e-09,6.34550017573924e-07,5.11177742356039e-08,4.49982426075964e-10,-11.8986567726259
5.52e-09,6.34312053729093e-07,5.39671330002963e-08,6.8794627090692e-10,-11.8977018169832
5.54e-09,6.34074109501245e-07,5.68928875073483e-08,9.25890498754985e-10,-11.8966943801884
5.56e-09,6.33836185953886e-07,5.98933504760433e-08,1.16381404611397e-09,-11.8956330890869
5.58e-09,6.33598284177681e-07,6.2966926804429e-08,1.40171582231893e-09,-11.8945166003529
5.6e-09,6.33360405289872e-07,6.61121053163937e-08,1.63959471012793e-09,-11.8933435988885
5.62e-09,6.33122550433726e-07,6.93274514730764e-08,1.877449566274e-09,-11.8921127963651
5.64e-09,6.32884720778017e-07,7.26116009106306e-08,2.11527922198298e-09,-11.8908229298889
5.66e-09,6.3264691751653e-07,7.59632536894521e-08,2.35308248346992e-09,-11.8894727607782
5.68e-09,6.32409141867586e-07,7.93811691587221e-08,2.59085813241397e-09,-11.8880610734383
5.7e-09,6.32171395073593e-07,8.28641613553609e-08,2.82860492640692e-09,-11.8865866743267
5.72e-09,6.31933678400613e-07,8.64110948689686e-08,3.06632159938691e-09,-11.8850483909961
5.74e-09,6.31695993137953e-07,9.00208811146401e-08,3.30400686204699e-09,-11.8834450712098
5.76e-09,6.31458340597765e-07,9.3692474964074e-08,3.54165940223496e-09,-11.8817755821211
5.78e-09,6.31220722114668e-07,9.74248716924707e-08,3.77927788533193e-09,-11.8800388095111
5.8e-09,6.30983139045384e-07,1.0121710420468e-07,4.01686095461592e-09,-11.8782336570802
5.82e-09,6.30745592768385e-07,1.0506824050904e-07,4.25440723161491e-09,-11.8763590457862
5.84e-09,6.30508084683553e-07,1.08977381411543e-07,4.49191531644698e-09,-11.8744139132279
5.86e-09,6.30270616211856e-07,1.12943658406568e-07,4.72938378814394e-09,-11.8723972130683
