t,delta,force,overlap,vel
2.34e-09,6.95319999999995e-07,0,-6.0319999999995e-08,-2
2.36e-09,6.95279999999995e-07,0,-6.02799999999951e-08,-2
2.38e-09,6.95239999999995e-07,0,-6.0239999999995e-08,-2
2.4e-09,6.95199999999995e-07,0,-6.0199999999995e-08,-2
2.42e-09,6.95159999999994e-07,0,-6.0159999999994e-08,-2
2.44e-09,6.95119999999994e-07,0,-6.01199999999941e-08,-2
2.46e-09,6.95079999999994e-07,0,-6.0079999999994e-08,-2
2.48e-09,6.95039999999994e-07,0,-6.00399999999941e-08,-2
2.5e-09,6.94999999999994e-07,0,-5.9999999999994e-08,-2
2.52e-09,6.94959999999994e-07,0,-5.99599999999941e-08,-2
2.54e-09,6.94919999999994e-07,0,-5.9919999999994e-08,-2
2.56e-09,6.94879999999994e-07,0,-5.9879999999994e-08,-2
2.58e-09,6.94839999999994e-07,0,-5.98399999999941e-08,-2
2.6e-09,6.94799999999994e-07,0,-5.9799999999994e-08,-2
2.62e-09,6.94759999999994e-07,0,-5.97599999999941e-08,-2
2.64e-09,6.94719999999994e-07,0,-5.9719999999994e-08,-2
2.66e-09,6.94679999999994e-07,0,-5.96799999999941e-08,-2
2.68e-09,6.94639999999994e-07,0,-5.9639999999994e-08,-2
2.7e-09,6.94599999999994e-07,0,-5.9599999999994e-08,-2
2.72e-09,6.94559999999994e-07,0,-5.95599999999941e-08,-2
2.74e-09,6.94519999999994e-07,0,-5.9519999999994e-08,-2
2.76e-09,6.94479999999994e-07,0,-5.94799999999941e-08,-2
2.78e-09,6.94439999999994e-07,0,-5.9439999999994e-08,-2
2.8e-09,6.94399999999994e-07,0,-5.93999999999941e-08,-2
2.82e-09,6.94359999999994e-07,0,-5.9359999999994e-08,-2
2.84e-09,6.94319999999994e-07,0,-5.9319999999994e-08,-2
2.86e-09,6.94279999999993e-07,0,-5.9279999999993e-08,-2
2.88e-09,6.94239999999993e-07,0,-5.92399999999931e-08,-2
2.9e-09,6.94199999999993e-07,0,-5.9199999999993e-08,-2
2.92e-09,6.94159999999993e-07,0,-5.91599999999931e-08,-2
2.94e-09,6.94119999999993e-07,0,-5.9119999999993e-08,-2
2.96e-09,6.94079999999993e-07,0,-5.90799999999931e-08,-2
