t,delta,force,overlap,vel
3.028e-08,6.39439999999931e-07,0,-4.43999999993103e-09,-2
3.03e-08,6.39399999999931e-07,0,-4.39999999993109e-09,-2
3.032e-08,6.39359999999931e-07,0,-4.35999999993104e-09,-2
3.034e-08,6.39319999999931e-07,0,-4.31999999993099e-09,-2
3.036e-08,6.39279999999931e-07,0,-4.27999999993106e-09,-2
3.038e-08,6.39239999999931e-07,0,-4.23999999993101e-09,-2
3.04e-08,6.39199999999931e-07,0,-4.19999999993107e-09,-2
3.042e-08,6.39159999999931e-07,0,-4.15999999993103e-09,-2
3.044e-08,6.39119999999931e-07,0,-4.11999999993109e-09,-2
3.046e-08,6.39079999999931e-07,0,-4.07999999993104e-09,-2
3.048e-08,6.39039999999931e-07,0,-4.039999999931e-09,-2
3.05e-08,6.38999999999931e-07,0,-3.99999999993106e-09,-2
3.052e-08,6.38959999999931e-07,0,-3.95999999993101e-09,-2
3.054e-08,6.38919999999931e-07,0,-3.91999999993107e-09,-2
3.056e-08,6.38879999999931e-07,0,-3.87999999993103e-09,-2
3.058e-08,6.38839999999931e-07,0,-3.83999999993109e-09,-2
3.06e-08,6.38799999999931e-07,0,-3.79999999993104e-09,-2
3.062e-08,6.38759999999931e-07,0,-3.759999999931e-09,-2
3.064e-08,6.3871999999993e-07,0,-3.71999999993e-09,-2
3.066e-08,6.3867999999993e-07,0,-3.67999999993006e-09,-2
3.068e-08,6.3863999999993e-07,0,-3.63999999993001e-09,-2
3.07e-08,6.3859999999993e-07,0,-3.59999999993007e-09,-2
3.072e-08,6.3855999999993e-07,0,-3.55999999993003e-09,-2
3.074e-08,6.3851999999993e-07,0,-3.51999999993009e-09,-2
3.076e-08,6.3847999999993e-07,0,-3.47999999993004e-09,-2
3.078e-08,6.3843999999993e-07,0,-3.43999999993e-09,-2
3.08e-08,6.3839999999993e-07,0,-3.39999999993006e-09,-2
3.082e-08,6.3835999999993e-07,0,-3.35999999993001e-09,-2
3.084e-08,6.3831999999993e-07,0,-3.31999999993007e-09,-2
3.086e-08,6.3827999999993e-07,0,-3.27999999993003e-09,-2
3.088e-08,6.3823999999993e-07,0,-3.23999999993009e-09,-2
3.09e-08,6.3819999999993e-07,0,-3.19999999993004e-09,-2
3.092e-08,6.3815999999993e-07,0,-3.15999999993e-09,-2
3.094e-08,6.3811999999993e-07,0,-3.11999999993006e-09,-2
3.096e-08,6.3807999999993e-07,0,-3.07999999993001e-09,-2
3.098e-08,6.3803999999993e-07,0,-3.03999999993007e-09,-2
3.1e-08,6.3799999999993e-07,0,-2.99999999993003e-09,-2
3.102e-08,6.3795999999993e-07,0,-2.95999999993009e-09,-2
3.104e-08,6.3791999999993e-07,0,-2.91999999993004e-09,-2
3.106e-08,6.3787999999993e-07,0,-2.87999999993e-09,-2
3.108e-08,6.37839999999929e-07,0,-2.839999999929e-09,-2
3.11e-08,6.37799999999929e-07,0,-2.79999999992906e-09,-2
3.112e-08,6.37759999999929e-07,0,-2.75999999992901e-09,-2
3.114e-08,6.37719999999929e-07,0,-2.71999999992907e-09,-2
3.116e-08,6.37679999999929e-07,0,-2.67999999992903e-09,-2
3.118e-08,6.37639999999929e-07,0,-2.63999999992909e-09,-2
3.12e-08,6.37599999999929e-07,0,-2.59999999992904e-09,-2
3.122e-08,6.37559999999929e-07,0,-2.559999999929e-09,-2
3.124e-08,6.37519999999929e-07,0,-2.51999999992906e-09,-2
3.126e-08,6.37479999999929e-07,0,-2.47999999992901e-09,-2
3.128e-08,6.37439999999929e-07,0,-2.43999999992907e-09,-2
3.13e-08,6.37399999999929e-07,0,-2.39999999992903e-09,-2
3.132e-08,6.37359999999929e-07,0,-2.35999999992909e-09,-2
3.134e-08,6.37319999999929e-07,0,-2.31999999992904e-09,-2
3.136e-08,6.37279999999929e-07,0,-2.279999999929e-09,-2
3.138e-08,6.37239999999929e-07,0,-2.23999999992906e-09,-2
3.14e-08,6.37199999999929e-07,0,-2.19999999992901e-09,-2
3.142e-08,6.37159999999929e-07,0,-2.15999999992908e-09,-2
3.144e-08,6.37119999999929e-07,0,-2.11999999992903e-09,-2
3.146e-08,6.37079999999929e-07,0,-2.07999999992909e-09,-2
3.148e-08,6.37039999999929e-07,0,-2.03999999992904e-09,-2
3.15e-08,6.36999999999929e-07,0,-1.999999999929e-09,-2
3.152e-08,6.36959999999928e-07,0,-1.959999999928e-09,-2
3.154e-08,6.36919999999928e-07,0,-1.91999999992806e-09,-2
3.156e-08,6.36879999999928e-07,0,-1.87999999992802e-09,-2
3.158e-08,6.36839999999928e-07,0,-1.83999999992808e-09,-2
3.16e-08,6.36799999999928e-07,0,-1.79999999992803e-09,-2
3.162e-08,6.36759999999928e-07,0,-1.75999999992809e-09,-2
3.164e-08,6.36719999999928e-07,0,-1.71999999992805e-09,-2
3.166e-08,6.36679999999928e-07,0,-1.679999999928e-09,-2
3.168e-08,6.36639999999928e-07,0,-1.63999999992806e-09,-2
3.17e-08,6.36599999999928e-07,0,-1.59999999992802e-09,-2
3.172e-08,6.36559999999928e-07,0,-1.55999999992808e-09,-2
3.174e-08,6.36519999999928e-07,0,-1.51999999992803e-09,-2
3.176e-08,6.36479999999928e-07,0,-1.47999999992809e-09,-2
3.178e-08,6.36439999999928e-07,0,-1.43999999992805e-09,-2
3.18e-08,6.36399999999928e-07,0,-1.399999999928e-09,-2
3.182e-08,6.36359999999928e-07,0,-1.35999999992806e-09,-2
3.184e-08,6.36319999999928e-07,0,-1.31999999992802e-09,-2
3.186e-08,6.36279999999928e-07,0,-1.27999999992808e-09,-2
3.188e-08,6.36239999999928e-07,0,-1.23999999992803e-09,-2
3.19e-08,6.36199999999928e-07,0,-1.19999999992809e-09,-2
3.192e-08,6.36159999999928e-07,0,-1.15999999992805e-09,-2
3.194e-08,6.36119999999928e-07,0,-1.119999999928e-09,-2
3.196e-08,6.36079999999927e-07,0,-1.079999999927e-09,-2
3.198e-08,6.36039999999927e-07,0,-1.03999999992706e-09,-2
3.2e-08,6.35999999999927e-07,0,-9.99999999927019e-10,-2
3.202e-08,6.35959999999927e-07,0,-9.59999999927079e-10,-2
3.204e-08,6.35919999999927e-07,0,-9.19999999927034e-10,-2
3.206e-08,6.35879999999927e-07,0,-8.79999999927094e-10,-2
3.208e-08,6.35839999999927e-07,0,-8.39999999927049e-10,-2
3.21e-08,6.35799999999927e-07,0,-7.99999999927004e-10,-2
3.212e-08,6.35759999999927e-07,0,-7.59999999927064e-10,-2
3.214e-08,6.35719999999927e-07,0,-7.19999999927019e-10,-2
3.216e-08,6.35679999999927e-07,0,-6.79999999927079e-10,-2
3.218e-08,6.35639999999927e-07,0,-6.39999999927034e-10,-2
3.22e-08,6.35599999999927e-07,0,-5.99999999927094e-10,-2
3.222e-08,6.35559999999927e-07,0,-5.59999999927049e-10,-2
3.224e-08,6.35519999999927e-07,0,-5.19999999927004e-10,-2
3.226e-08,6.35479999999927e-07,0,-4.79999999927064e-10,-2
3.228e-08,6.35439999999927e-07,0,-4.39999999927019e-10,-2
3.23e-08,6.35399999999927e-07,0,-3.99999999927079e-10,-2
3.232e-08,6.35359999999927e-07,0,-3.59999999927034e-10,-2
3.234e-08,6.35319999999927e-07,0,-3.19999999927095e-10,-2
