t,delta,force,overlap,vel
5.886e-08,3.34559478265683e-06,0,-2.71059478265683e-06,62.3343351094227
5.888e-08,3.34684146935902e-06,0,-2.71184146935902e-06,62.3343351094227
5.89e-08,3.3480881560612e-06,0,-2.7130881560612e-06,62.3343351094227
5.892e-08,3.34933484276339e-06,0,-2.71433484276339e-06,62.3343351094227
5.894e-08,3.35058152946558e-06,0,-2.71558152946558e-06,62.3343351094227
5.896e-08,3.35182821616777e-06,0,-2.71682821616777e-06,62.3343351094227
5.898e-08,3.35307490286996e-06,0,-2.71807490286996e-06,62.3343351094227
5.9e-08,3.35432158957215e-06,0,-2.71932158957215e-06,62.3343351094227
5.902e-08,3.35556827627434e-06,0,-2.72056827627434e-06,62.3343351094227
5.904e-08,3.35681496297652e-06,0,-2.72181496297652e-06,62.3343351094227
5.906e-08,3.35806164967871e-06,0,-2.72306164967871e-06,62.3343351094227
5.908e-08,3.3593083363809e-06,0,-2.7243083363809e-06,62.3343351094227
5.91e-08,3.36055502308309e-06,0,-2.72555502308309e-06,62.3343351094227
5.912e-08,3.36180170978528e-06,0,-2.72680170978528e-06,62.3343351094227
5.914e-08,3.36304839648747e-06,0,-2.72804839648747e-06,62.3343351094227
5.916e-08,3.36429508318965e-06,0,-2.72929508318965e-06,62.3343351094227
5.918e-08,3.36554176989184e-06,0,-2.73054176989184e-06,62.3343351094227
5.92e-08,3.36678845659403e-06,0,-2.73178845659403e-06,62.3343351094227
5.922e-08,3.36803514329622e-06,0,-2.73303514329622e-06,62.3343351094227
5.924e-08,3.36928182999841e-06,0,-2.73428182999841e-06,62.3343351094227
5.926e-08,3.3705285167006e-06,0,-2.7355285167006e-06,62.3343351094227
5.928e-08,3.37177520340278e-06,0,-2.73677520340278e-06,62.3343351094227
5.93e-08,3.37302189010497e-06,0,-2.73802189010497e-06,62.3343351094227
5.932e-08,3.37426857680716e-06,0,-2.73926857680716e-06,62.3343351094227
5.934e-08,3.37551526350935e-06,0,-2.74051526350935e-06,62.3343351094227
5.936e-08,3.37676195021154e-06,0,-2.74176195021154e-06,62.3343351094227
5.938e-08,3.37800863691373e-06,0,-2.74300863691373e-06,62.3343351094227
5.94e-08,3.37925532361592e-06,0,-2.74425532361592e-06,62.3343351094227
5.942e-08,3.3805020103181e-06,0,-2.7455020103181e-06,62.3343351094227
5.944e-08,3.38174869702029e-06,0,-2.74674869702029e-06,62.3343351094227
5.946e-08,3.38299538372248e-06,0,-2.74799538372248e-06,62.3343351094227
5.948e-08,3.38424207042467e-06,0,-2.74924207042467e-06,62.3343351094227
