TIMESTEP CONTACTS
120102	26781
-2.68287e-06 2.20843e-06 -3.79988e-06 
0 0 0 
9.17693e-07 -7.13477e-07 -1.73039e-06 
4.44526e-08 -6.06338e-07 -1.06904e-07 
-1.69779e-06 -4.26138e-07 -2.11079e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-3.66124e-07 -1.43489e-06 -2.26241e-06 
-9.38854e-07 -3.73654e-06 2.95705e-06 
2.98759e-06 4.0933e-06 -5.60679e-07 
0 0 0 
0 0 0 
-3.37455e-07 1.69094e-06 -2.83326e-06 
8.97216e-07 -1.07237e-06 -1.15841e-07 
-1.51691e-06 -1.16601e-06 -4.10392e-07 
-1.41197e-07 -4.73145e-06 -7.46455e-06 
0 0 0 
-9.66929e-06 -2.80717e-08 1.32704e-06 
1.15564e-05 -8.01288e-06 1.86487e-06 
0 0 0 
0 0 0 
0 0 0 
-4.34227e-07 1.07839e-07 -5.72908e-07 
0 0 0 
0 0 0 
0 0 0 
-4.42957e-06 8.04673e-08 4.11691e-09 
1.90324e-06 -4.68492e-06 -3.46042e-06 
-1.04414e-06 -1.73287e-06 -2.51031e-08 
0 0 0 
0 0 0 
1.40605e-07 5.20289e-08 2.56803e-07 
0 0 0 
8.10268e-07 -1.31092e-06 -5.7637e-08 
0 0 0 
0 0 0 
0 0 0 
1.5585e-07 -5.59346e-08 -2.43474e-07 
2.59114e-07 -1.91021e-08 3.41861e-07 
-5.40735e-06 -2.00747e-06 5.70468e-07 
0 0 0 
5.62769e-06 -1.10278e-05 7.36533e-07 
1.3797e-06 -3.94339e-07 -1.28308e-06 
-2.25249e-07 -8.89994e-08 -1.12264e-06 
0 0 0 
0 0 0 
-9.24327e-07 5.26798e-06 -4.06984e-06 
0 0 0 
4.73127e-07 -4.70134e-06 6.61356e-08 
-4.85871e-06 -3.5861e-06 -1.42352e-06 
0 0 0 
0 0 0 
-9.61493e-08 1.01747e-06 2.02752e-06 
0 0 0 
0 0 0 
0 0 0 
5.53685e-07 4.17613e-07 -8.66169e-07 
-3.78989e-06 3.95842e-06 -5.74104e-06 
0 0 0 
0 0 0 
-2.87476e-06 -3.07473e-06 -1.90006e-06 
0 0 0 
0 0 0 
1.91848e-07 -7.22105e-08 -5.2298e-10 
6.99033e-07 -5.60319e-06 -1.12774e-06 
0 0 0 
0 0 0 
-5.8067e-07 3.99058e-06 5.51375e-08 
-3.281e-06 8.90164e-07 -3.78633e-08 
3.32718e-06 -1.28836e-06 -8.25653e-07 
5.32084e-07 -3.59345e-06 9.98703e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-4.66775e-06 4.34081e-06 -8.21888e-06 
6.02732e-08 -3.51485e-07 -7.35715e-07 
0 0 0 
0 0 0 
1.29821e-06 -1.11172e-05 3.46379e-07 
