TIMESTEP CONTACTS
120102	26781
3.99405e-08 1.2808e-08 -3.30553e-09 
0 0 0 
-3.02062e-08 1.60752e-08 -6.98527e-09 
0 0 0 
0 0 0 
1.57576e-08 -9.09844e-09 -8.9164e-09 
0 0 0 
0 0 0 
-4.23076e-08 -6.44567e-08 -2.09744e-07 
1.84281e-08 1.13396e-08 -1.19262e-08 
0 0 0 
8.18857e-09 1.2323e-08 -1.40843e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
5.78973e-08 -1.38748e-07 1.58547e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
2.59387e-09 9.83733e-10 1.28713e-09 
-9.73376e-08 1.19378e-07 3.98354e-08 
1.3142e-07 -2.45961e-08 -1.39205e-07 
0 0 0 
5.24298e-08 -9.34226e-08 -2.63868e-08 
1.91229e-08 1.61498e-08 -3.20547e-08 
-2.3783e-07 1.32849e-07 -4.6421e-08 
0 0 0 
1.2039e-07 -6.35831e-08 4.18477e-08 
-7.64862e-09 1.08669e-07 -6.89638e-09 
0 0 0 
0 0 0 
0 0 0 
-3.24825e-07 1.3762e-07 -1.34376e-07 
0 0 0 
0 0 0 
0 0 0 
-2.92409e-08 8.18499e-08 -1.33829e-07 
1.58195e-08 -3.97333e-08 -1.41471e-08 
0 0 0 
0 0 0 
-6.23682e-08 -3.53874e-08 -4.87617e-08 
-4.88506e-09 -1.89918e-07 4.29366e-08 
9.34157e-10 -4.00603e-10 -6.21481e-09 
0 0 0 
0 0 0 
4.40817e-08 1.0849e-09 -2.45295e-08 
6.64027e-10 7.546e-08 -2.9541e-08 
0 0 0 
-5.34495e-08 -4.10771e-08 -4.35495e-08 
1.35509e-07 6.56458e-08 5.41448e-08 
-6.74191e-08 4.02638e-08 -1.42515e-09 
9.39787e-09 -1.02844e-09 -5.18765e-09 
0 0 0 
5.02911e-08 2.7696e-08 1.36131e-07 
-9.12115e-09 6.33286e-08 1.19348e-07 
0 0 0 
-2.19054e-08 -3.65036e-08 -2.17369e-08 
6.6e-08 5.94728e-08 -3.97696e-08 
0 0 0 
9.2576e-09 -2.11071e-07 -4.05006e-09 
-1.58427e-07 -9.39867e-08 -1.08125e-07 
-4.23516e-22 -1.69407e-21 2.64698e-23 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-3.2417e-09 -2.44715e-09 2.14978e-09 
0 0 0 
4.8749e-08 1.29359e-08 -2.71636e-08 
2.38206e-08 1.8595e-08 7.3318e-08 
-1.61954e-07 2.17879e-07 -1.36033e-07 
0 0 0 
-3.72766e-08 -8.02104e-08 -5.96012e-08 
0 0 0 
0 0 0 
2.28802e-08 -1.24599e-07 -4.85256e-08 
6.05619e-08 7.01389e-08 3.88625e-08 
0 0 0 
0 0 0 
0 0 0 
-1.28105e-08 -2.71488e-08 -1.29469e-07 
0 0 0 
0 0 0 
-6.74953e-08 1.38882e-08 8.95306e-08 
0 0 0 
0 0 0 
2.56956e-07 2.89811e-08 1.36465e-07 
2.74432e-08 -7.29568e-10 -3.0414e-08 
0 0 0 
0 0 0 
3.44492e-08 2.18706e-08 4.70403e-08 
-1.2987e-07 1.76489e-07 3.56753e-08 
0 0 0 
0 0 0 
0 0 0 
6.91415e-08 7.85875e-08 5.52326e-08 
1.68796e-09 9.35206e-09 -1.82028e-08 
0 0 0 
0 0 0 
0 0 0 
-4.34488e-09 -5.75181e-10 -3.21717e-09 
0 0 0 
2.69346e-07 1.36497e-07 -2.41579e-08 
0 0 0 
-1.07483e-07 4.74655e-08 7.74347e-08 
0 0 0 
0 0 0 
0 0 0 
-2.07426e-08 4.79149e-08 -1.18922e-07 
0 0 0 
6.42347e-09 -7.16357e-08 -1.81179e-07 
-8.86456e-09 5.14137e-09 -1.08629e-08 
-9.04107e-08 -5.67203e-08 -1.41554e-07 
0 0 0 
-9.38079e-09 -4.37277e-09 -3.91668e-09 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-4.133e-08 -2.68475e-07 1.51092e-08 
0 0 0 
1.80539e-09 1.07055e-10 -3.8947e-09 
0 0 0 
2.61436e-09 1.02154e-08 3.14758e-09 
-1.4575e-07 5.39236e-08 2.2165e-08 
-5.21541e-07 -9.22883e-08 1.20954e-07 
1.20497e-10 3.39649e-09 8.79759e-09 
0 0 0 
0 0 0 
0 0 0 
-2.29231e-08 1.33597e-08 -4.41107e-10 
-1.64434e-08 -6.06829e-08 -9.59335e-08 
5.81073e-07 7.45414e-08 -5.58477e-08 
-1.45219e-09 3.36884e-09 -4.95996e-09 
3.50565e-08 3.58999e-08 3.13184e-08 
0 0 0 
0 0 0 
6.41012e-09 -3.5054e-09 1.59403e-09 
0 0 0 
1.10268e-08 2.0219e-09 4.98931e-09 
0 0 0 
6.23661e-11 -3.56806e-09 1.96844e-09 
-1.84152e-09 -1.8996e-09 -6.6529e-09 
-2.7633e-09 4.14128e-10 1.57919e-08 
1.04418e-08 1.05411e-08 7.0772e-09 
0 0 0 
0 0 0 
4.92323e-08 -5.36048e-08 -5.63415e-09 
0 0 0 
0 0 0 
0 0 0 
-2.3054e-08 7.31201e-09 2.64373e-08 
6.04834e-08 -1.47416e-07 8.41837e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.09296e-07 -6.99857e-08 1.13734e-07 
0 0 0 
-1.11705e-07 9.39078e-08 -6.56991e-08 
7.3833e-08 1.90107e-08 -1.14153e-07 
0 0 0 
0 0 0 
0 0 0 
7.83227e-10 2.28254e-09 -1.59883e-09 
-3.5959e-08 2.45066e-09 -2.21915e-08 
